symbol,value
Ž,0
ž,1
€,2
’,3
‰,4
”,5
˜,6
ž,7
Œ,8
Œ,9
–,10
Œ,11
ƒ,12
™,13
š,14
‹,15
„,16
Š,17
‹,18
™,19
“,20
“,21
˜,22
›,23
œ,24
œ,25
’,26
“,27
†,28
‘,29
“,30
„,31
’,32
‹,33
š,34
š,35
œ,36
‘,37
•,38
ž,39
œ,40
Ž,41
‰,42
œ,43
•,44
’,45
—,46
Š,47
œ,48
š,49
‰,50
ƒ,51
ƒ,52
–,53
…,54
›,55
œ,56
Ž,57
’,58
š,59
›,60
€,61
†,62
…,63
‘,64
Ž,65
“,66
ž,67
Œ,68
Œ,69
–,70
„,71
‚,72
‚,73
†,74
š,75
…,76
‚,77
…,78
œ,79
˜,80
€,81
–,82
Š,83
™,84
‘,85
Š,86
œ,87
‡,88
š,89
‘,90
ˆ,91
’,92
ˆ,93
œ,94
Ÿ,95
“,96
„,97
•,98
œ,99
œ,100
Ž,101
†,102
ƒ,103
™,104
˜,105
€,106
›,107
š,108
”,109
™,110
†,111
‹,112
”,113
“,114
˜,115
„,116
€,117
†,118
ž,119
›,120
Š,121
’,122
œ,123
”,124
‘,125
…,126
‡,127
‹,128
„,129
˜,130
Š,131
Š,132
ž,133
˜,134
Š,135
‹,136
ƒ,137
…,138
œ,139
š,140
›,141
ž,142
‡,143
Ÿ,144
—,145
›,146
Š,147
Š,148
™,149
‚,150
—,151
„,152
ˆ,153
…,154
‰,155
Œ,156
‘,157
‡,158
‹,159
‰,160
‡,161
Ÿ,162
‡,163
„,164
€,165
›,166
‰,167
„,168
Œ,169
•,170
†,171
‡,172
›,173
•,174
œ,175
†,176
Ÿ,177
‘,178
‚,179
Ÿ,180
š,181
”,182
‹,183
Ÿ,184
‹,185
ž,186
–,187
œ,188
ˆ,189
€,190
†,191
‰,192
‚,193
‰,194
Ž,195
ˆ,196
ž,197
›,198
•,199
‘,200
„,201
‘,202
‰,203
œ,204
Š,205
œ,206
…,207
ž,208
ˆ,209
“,210
Š,211
‚,212
…,213
Ÿ,214
ž,215
’,216
ˆ,217
ˆ,218
’,219
Š,220
˜,221
˜,222
…,223
‡,224
›,225
‡,226
Ÿ,227
•,228
Œ,229
‰,230
Œ,231
™,232
‘,233
–,234
„,235
˜,236
‘,237
“,238
–,239
ˆ,240
•,241
›,242
–,243
ƒ,244
ˆ,245
‚,246
Œ,247
…,248
ž,249
•,250
Ž,251
˜,252
‡,253
ž,254
‰,255
Ÿ,256
Œ,257
Š,258
–,259
œ,260
‡,261
‰,262
…,263
‘,264
—,265
€,266
˜,267
š,268
ˆ,269
„,270
†,271
‹,272
†,273
—,274
†,275
Ž,276
˜,277
˜,278
‰,279
„,280
–,281
†,282
Ÿ,283
Ÿ,284
…,285
”,286
…,287
›,288
–,289
‚,290
˜,291
Ÿ,292
Š,293
€,294
ƒ,295
“,296
…,297
Ž,298
‹,299
’,300
œ,301
„,302
„,303
—,304
ƒ,305
‡,306
ƒ,307
”,308
–,309
˜,310
„,311
’,312
œ,313
€,314
„,315
ˆ,316
Š,317
“,318
‚,319
’,320
–,321
ž,322
…,323
Ž,324
’,325
š,326
–,327
‹,328
˜,329
Ÿ,330
–,331
€,332
™,333
…,334
Š,335
‡,336
”,337
—,338
“,339
•,340
ˆ,341
š,342
…,343
›,344
‘,345
ž,346
–,347
—,348
Œ,349
œ,350
‰,351
†,352
Š,353
”,354
‡,355
—,356
Š,357
‡,358
Œ,359
š,360
™,361
‘,362
–,363
“,364
ž,365
‚,366
–,367
š,368
Š,369
…,370
ƒ,371
‘,372
„,373
™,374
ƒ,375
Œ,376
—,377
Ž,378
ž,379
Œ,380
œ,381
…,382
“,383
Š,384
ˆ,385
”,386
‚,387
ƒ,388
•,389
ž,390
š,391
™,392
Ÿ,393
™,394
ƒ,395
‘,396
‹,397
‰,398
”,399
š,400
™,401
˜,402
•,403
‰,404
œ,405
€,406
‹,407
Ÿ,408
Ÿ,409
‘,410
•,411
Ÿ,412
™,413
€,414
œ,415
•,416
ƒ,417
™,418
…,419
–,420
…,421
‘,422
†,423
€,424
ˆ,425
„,426
‘,427
‚,428
„,429
”,430
™,431
—,432
•,433
˜,434
‘,435
˜,436
”,437
Œ,438
‚,439
•,440
€,441
„,442
€,443
ž,444
—,445
…,446
†,447
—,448
‹,449
‚,450
€,451
“,452
•,453
š,454
–,455
Ž,456
”,457
ž,458
–,459
™,460
‡,461
‰,462
™,463
Š,464
Ž,465
‘,466
ƒ,467
•,468
ˆ,469
ˆ,470
Ž,471
‡,472
‰,473
‘,474
ž,475
Ÿ,476
‡,477
˜,478
–,479
œ,480
š,481
š,482
–,483
—,484
š,485
™,486
†,487
˜,488
ž,489
ž,490
€,491
“,492
„,493
–,494
š,495
’,496
‘,497
Ÿ,498
™,499
